name,Pmax,Pmin,type,bus,max_ramp_up,max_ramp_down,min_up_time,min_down_time,marginal_cost,shut_down_cost,start_cost,zone,generator,x,y,V
gen_3_0,63.4,0.0,wind,3,0.0,0.0,0.0,0.0,0.0,0,0.0,R1,1,62,-101,142.1
gen_5_1,6.5,0.0,thermal,5,0.7,0.7,72.0,72.0,25.0,0,106.0,R1,2,116,-167,142.1
gen_7_2,287.9,0.0,nuclear,7,23.4,23.4,2016.0,2016.0,3.0,0,27728.7,R1,3,74,-293,355.4
gen_9_3,478.6,0.0,thermal,9,43.3,43.3,12.0,12.0,50.0,0,3392.3,R1,4,74,-390,355.4
gen_11_4,356.9,0.0,hydro,11,17.2,17.2,12.0,12.0,8.0,0,0.0,R1,5,191,-82,142.1
gen_14_5,103.8,0.0,thermal,14,5.6,5.6,96.0,48.0,50.0,0,6699.8,R1,6,284,-159,142.1
gen_14_56,103.0,0.0,solar,14,0.0,0.0,0.0,0.0,0.0,0,0.0,R1,57,284,-159,142.1
gen_17_6,356.9,0.0,hydro,17,17.2,17.2,12.0,12.0,8.0,0,0.0,R1,7,317,-250,142.1
gen_18_7,114.2,0.0,thermal,18,4.1,4.1,96.0,48.0,50.0,0,7369.8,R1,8,351,-212,142.1
gen_23_8,7.1,0.0,thermal,23,0.7,0.7,96.0,96.0,32.0,0,116.6,R1,9,489,-345,142.1
gen_25_9,287.9,0.0,nuclear,25,23.4,23.4,2016.0,2016.0,3.0,0,27728.7,R1,10,267,-446,355.4
gen_24_10,63.4,0.0,wind,24,0.0,0.0,0.0,0.0,0.0,0,0.0,R1,11,315,-479,142.1
gen_26_11,63.4,0.0,wind,26,0.0,0.0,0.0,0.0,0.0,0,0.0,R1,12,124,-425,142.1
gen_30_12,58.7,0.0,thermal,30,29.2,29.2,24.0,24.0,50.0,0,6584.2,R1,13,161,-337,142.1
gen_31_13,33.1,0.0,thermal,31,3.9,3.9,192.0,72.0,26.0,0,0.0,R1,14,200,-364,142.1
gen_33_14,6.3,0.0,thermal,33,0.8,0.8,72.0,96.0,32.0,0,79.5,R2,15,548,-155,142.1
gen_35_15,5.6,0.0,thermal,35,0.2,0.2,96.0,48.0,50.0,0,3372.5,R2,16,570,-214,142.1
gen_39_16,76.1,0.0,wind,39,0.0,0.0,0.0,0.0,0.0,0,0.0,R2,17,612,-46,142.1
gen_41_17,1.0,0.0,thermal,41,0.3,0.3,60.0,96.0,32.0,0,39.8,R2,18,700,-46,142.1
gen_45_18,3.0,0.0,thermal,45,0.7,0.7,60.0,36.0,50.0,0,115.0,R2,19,668,-233,142.1
gen_48_19,76.1,0.0,wind,48,0.0,0.0,0.0,0.0,0.0,0,0.0,R2,20,772,-249,142.1
gen_48_57,51.5,0.0,solar,48,0.0,0.0,0.0,0.0,0.0,0,0.0,R2,58,772,-249,142.1
gen_53_20,452.1,0.0,hydro,53,21.8,21.8,12.0,12.0,8.0,0,0.0,R2,21,790,-48,142.1
gen_53_55,51.5,0.0,solar,53,0.0,0.0,0.0,0.0,0.0,0,0.0,R2,56,790,-48,142.1
gen_54_21,39.2,0.0,thermal,54,2.8,2.8,12.0,12.0,50.0,0,15395.8,R2,22,899,-46,142.1
gen_55_22,53.6,0.0,thermal,55,2.1,2.1,36.0,24.0,50.0,0,8064.9,R2,23,844,-45,142.1
gen_55_58,51.5,0.0,solar,55,0.0,0.0,0.0,0.0,0.0,0,0.0,R2,59,844,-45,142.1
gen_58_23,452.1,0.0,hydro,58,21.8,21.8,12.0,12.0,8.0,0,0.0,R2,24,950,-69,142.1
gen_58_54,51.5,0.0,solar,58,0.0,0.0,0.0,0.0,0.0,0,0.0,R2,55,950,-69,142.1
gen_60_24,92.9,0.0,thermal,60,3.2,3.2,96.0,96.0,50.0,0,13989.2,R2,25,950,-216,142.1
gen_61_25,76.1,0.0,wind,61,0.0,0.0,0.0,0.0,0.0,0,0.0,R2,26,913,-311,142.1
gen_61_61,51.5,0.0,solar,61,0.0,0.0,0.0,0.0,0.0,0,0.0,R2,62,913,-311,142.1
gen_64_26,455.8,0.0,nuclear,64,37.1,37.1,2016.0,2016.0,3.0,0,27728.7,R2,27,863,-364,355.4
gen_65_27,452.0,0.0,thermal,65,17.4,17.4,96.0,48.0,50.0,0,54436.1,R2,28,845,-311,142.1
gen_68_28,224.6,0.0,thermal,68,20.9,20.9,96.0,48.0,50.0,0,27050.6,R2,29,727,-339,142.1
gen_69_29,23.4,0.0,thermal,69,4.3,4.3,12.0,12.0,50.0,0,3930.8,R1,30,582,-346,142.1
gen_71_30,8.1,0.0,thermal,71,0.7,0.7,72.0,72.0,25.0,0,132.5,R1,31,540,-337,142.1
gen_72_31,13.2,0.0,thermal,72,1.6,1.6,576.0,288.0,10.0,0,6334.7,R1,32,581,-300,142.1
gen_73_32,29.2,0.0,thermal,73,13.0,13.0,12.0,12.0,50.0,0,3275.7,R1,33,560,-463,142.1
gen_75_33,7.2,0.0,thermal,75,0.4,0.4,192.0,72.0,26.0,0,0.0,R2,34,688,-486,142.1
gen_76_34,10.6,0.0,thermal,76,5.6,5.6,24.0,24.0,100.0,0,858.3,R2,35,718,-518,142.1
gen_79_35,158.5,0.0,thermal,79,6.4,6.4,96.0,48.0,50.0,0,23868.2,R2,36,778,-486,142.1
gen_79_59,51.5,0.0,solar,79,0.0,0.0,0.0,0.0,0.0,0,0.0,R2,60,778,-486,142.1
gen_81_36,97.9,0.0,thermal,81,2.6,2.6,96.0,96.0,50.0,0,11054.7,R3,37,685,-554,142.1
gen_84_37,1.1,0.0,thermal,84,0.4,0.4,60.0,96.0,32.0,0,31.8,R3,38,560,-643,142.1
gen_86_38,324.5,0.0,thermal,86,15.3,15.3,144.0,96.0,50.0,0,27827.6,R3,39,578,-689,165.8
gen_88_39,63.4,0.0,wind,88,0.0,0.0,0.0,0.0,0.0,0,0.0,R3,40,650,-645,142.1
gen_89_40,10.7,0.0,thermal,89,10.7,10.7,2016.0,576.0,10.0,0,1792.1,R3,41,654,-685,142.1
gen_89_60,180.2,0.0,solar,89,0.0,0.0,0.0,0.0,0.0,0,0.0,R3,61,654,-685,142.1
gen_90_41,4.0,0.0,thermal,90,0.2,0.2,192.0,72.0,26.0,0,0.0,R3,42,737,-688,142.1
gen_91_42,267.9,0.0,thermal,91,24.7,24.7,12.0,12.0,50.0,0,3392.3,R3,43,742,-644,142.1
gen_98_43,146.7,0.0,thermal,98,18.6,18.6,12.0,12.0,50.0,0,23039.2,R2,44,858,-487,142.1
gen_99_44,63.4,0.0,wind,99,0.0,0.0,0.0,0.0,0.0,0,0.0,R3,45,851,-582,142.1
gen_102_45,6.6,0.0,thermal,102,1.4,1.4,24.0,24.0,100.0,0,599.8,R3,46,895,-672,142.1
gen_103_46,73.1,0.0,thermal,103,19.4,19.4,24.0,24.0,50.0,0,21510.5,R3,47,901,-579,142.1
gen_104_47,22.4,0.0,thermal,104,6.4,6.4,24.0,24.0,50.0,0,2052.3,R3,48,942,-583,142.1
gen_106_48,63.4,0.0,wind,106,0.0,0.0,0.0,0.0,0.0,0,0.0,R3,49,988,-582,142.1
gen_109_49,4.0,0.0,thermal,109,0.9,0.9,60.0,36.0,50.0,0,115.0,R3,50,937,-699,142.1
gen_110_50,130.1,0.0,thermal,110,24.7,24.7,24.0,24.0,50.0,0,15319.4,R3,51,900,-707,142.1
gen_111_51,63.4,0.0,wind,111,0.0,0.0,0.0,0.0,0.0,0,0.0,R3,52,987,-699,142.1
gen_112_52,107.1,0.0,thermal,112,6.5,6.5,24.0,24.0,50.0,0,18016.4,R1,53,203,-276,142.1
gen_115_53,41.7,0.0,thermal,115,1.8,1.7,96.0,96.0,50.0,0,6281.1,R2,54,781,-362,355.4
gen_10_62,103.0,0.0,solar,10,0.0,0.0,0.0,0.0,0.0,0,0.0,R1,63,116,-104,142.1
gen_59_63,51.5,0.0,solar,59,0.0,0.0,0.0,0.0,0.0,0,0.0,R2,64,950,-164,142.1
