Pmax;name;type;x;y;zone
51.0;load_0_0;residential;30.0;-29.0;R1
20.0;load_1_1;residential;86.0;-29.0;R1
39.0;load_2_2;residential;57.0;-71.0;R1
39.0;load_3_3;residential;62.0;-101.0;R1
52.0;load_5_4;residential;116.0;-167.0;R1
19.0;load_6_5;residential;152.0;-171.0;R1
28.0;load_7_6;residential;74.0;-293.0;R1
70.0;load_10_7;residential;116.0;-104.0;R1
47.0;load_11_8;residential;191.0;-82.0;R1
34.0;load_12_9;residential;222.0;-162.0;R1
14.0;load_13_10;residential;267.0;-124.0;R1
90.0;load_14_11;residential;284.0;-159.0;R1
25.0;load_15_12;residential;174.0;-215.0;R1
11.0;load_16_13;residential;245.0;-250.0;R1
60.0;load_17_14;residential;317.0;-250.0;R1
45.0;load_18_15;residential;351.0;-212.0;R1
18.0;load_19_16;residential;343.0;-229.0;R1
14.0;load_20_17;residential;352.0;-367.0;R1
10.0;load_21_18;residential;361.0;-396.0;R1
7.0;load_22_19;residential;351.0;-434.0;R1
13.0;load_23_20;residential;489.0;-345.0;R1
71.0;load_26_21;residential;124.0;-425.0;R1
17.0;load_27_22;residential;113.0;-381.0;R1
24.0;load_28_23;residential;115.0;-337.0;R1
43.0;load_30_24;residential;161.0;-337.0;R1
59.0;load_31_25;residential;200.0;-364.0;R1
23.0;load_32_26;residential;505.0;-95.0;R2
59.0;load_33_27;residential;548.0;-155.0;R2
33.0;load_34_28;residential;469.0;-220.0;R2
31.0;load_35_29;residential;570.0;-214.0;R2
27.0;load_38_30;residential;580.0;-83.0;R2
66.0;load_39_31;residential;612.0;-46.0;R2
37.0;load_40_32;residential;662.0;-46.0;R2
96.0;load_41_33;residential;700.0;-46.0;R2
18.0;load_42_34;residential;657.0;-162.0;R2
16.0;load_43_35;residential;675.0;-128.0;R2
53.0;load_44_36;residential;684.0;-204.0;R2
28.0;load_45_37;residential;668.0;-233.0;R2
34.0;load_46_38;residential;702.0;-238.0;R2
20.0;load_47_39;residential;732.0;-193.0;R2
87.0;load_48_40;residential;772.0;-249.0;R2
17.0;load_49_41;residential;828.0;-142.0;R2
17.0;load_50_42;residential;850.0;-130.0;R2
18.0;load_51_43;residential;745.0;-91.0;R2
23.0;load_52_44;residential;749.0;-47.0;R2
113.0;load_53_45;residential;790.0;-48.0;R2
63.0;load_54_46;residential;899.0;-46.0;R2
84.0;load_55_47;residential;844.0;-45.0;R2
12.0;load_56_48;residential;828.0;-103.0;R2
12.0;load_57_49;residential;849.0;-103.0;R2
277.0;load_58_50;residential;950.0;-69.0;R2
78.0;load_59_51;residential;950.0;-164.0;R2
77.0;load_61_52;residential;913.0;-311.0;R2
39.0;load_65_53;residential;845.0;-311.0;R2
28.0;load_66_54;residential;861.0;-287.0;R2
66.0;load_69_55;residential;582.0;-346.0;R1
12.0;load_71_56;residential;540.0;-337.0;R1
6.0;load_72_57;residential;581.0;-300.0;R1
68.0;load_73_58;residential;560.0;-463.0;R1
47.0;load_74_59;residential;582.0;-485.0;R1
68.0;load_75_60;residential;688.0;-486.0;R2
61.0;load_76_61;residential;718.0;-518.0;R2
71.0;load_77_62;residential;740.0;-462.0;R2
39.0;load_78_63;residential;771.0;-439.0;R2
130.0;load_79_64;residential;778.0;-486.0;R2
54.0;load_81_65;residential;685.0;-554.0;R3
20.0;load_82_66;residential;578.0;-583.0;R3
11.0;load_83_67;residential;564.0;-602.0;R3
24.0;load_84_68;residential;560.0;-643.0;R3
21.0;load_85_69;residential;560.0;-671.0;R3
48.0;load_87_70;residential;603.0;-643.0;R3
163.0;load_89_71;residential;654.0;-685.0;R3
10.0;load_90_72;residential;737.0;-688.0;R3
65.0;load_91_73;residential;742.0;-644.0;R3
12.0;load_92_74;residential;769.0;-620.0;R3
30.0;load_93_75;residential;800.0;-583.0;R3
42.0;load_94_76;residential;761.0;-583.0;R3
38.0;load_95_77;residential;772.0;-556.0;R3
15.0;load_96_78;residential;770.0;-530.0;R2
34.0;load_97_79;residential;819.0;-510.0;R2
42.0;load_98_80;residential;858.0;-487.0;R2
37.0;load_99_81;residential;851.0;-582.0;R3
22.0;load_100_82;residential;833.0;-672.0;R3
5.0;load_101_83;residential;777.0;-671.0;R3
23.0;load_102_84;residential;895.0;-672.0;R3
38.0;load_103_85;residential;901.0;-579.0;R3
31.0;load_104_86;residential;942.0;-583.0;R3
43.0;load_105_87;residential;941.0;-506.0;R3
50.0;load_106_88;residential;988.0;-582.0;R3
2.0;load_107_89;residential;948.0;-625.0;R3
8.0;load_108_90;residential;951.0;-650.0;R3
39.0;load_109_91;residential;937.0;-699.0;R3
68.0;load_111_92;residential;987.0;-699.0;R3
6.0;load_112_93;residential;203.0;-276.0;R1
8.0;load_113_94;residential;188.0;-399.0;R1
22.0;load_114_95;residential;229.0;-401.0;R1
184.0;load_115_96;residential;781.0;-362.0;R2
20.0;load_116_97;residential;257.0;-81.0;R1
33.0;load_117_98;residential;628.0;-487.0;R2
