Périmètre;Nature;Date;Heures;Consommation;Thermique;Nucléaire;Eolien;Solaire;Hydraulique;Pompage;Bioénergies;Ech. physiques
Nouvelle-Aquitaine;Données définitives;01/01/2012;00:00;5570;118;6532;143;-1;82;-;184;-1488
Nouvelle-Aquitaine;Données définitives;01/01/2012;00:15;;;;;;;;;
Nouvelle-Aquitaine;Données définitives;01/01/2012;00:30;5663;129;6554;133;-1;79;-;185;-1415
Nouvelle-Aquitaine;Données définitives;01/01/2012;00:45;;;;;;;;;
Nouvelle-Aquitaine;Données définitives;01/01/2012;01:00;5595;130;6449;118;-1;70;-;184;-1354
Nouvelle-Aquitaine;Données définitives;01/01/2012;01:15;;;;;;;;;
Nouvelle-Aquitaine;Données définitives;01/01/2012;01:30;5636;130;6350;120;-1;71;-;187;-1222
Nouvelle-Aquitaine;Données définitives;01/01/2012;01:45;;;;;;;;;
Nouvelle-Aquitaine;Données définitives;01/01/2012;02:00;5492;134;6249;108;-1;69;-;186;-1254
Nouvelle-Aquitaine;Données définitives;01/01/2012;02:15;;;;;;;;;
Nouvelle-Aquitaine;Données définitives;01/01/2012;02:30;5547;134;6298;110;-1;69;-;186;-1250
Nouvelle-Aquitaine;Données définitives;01/01/2012;02:45;;;;;;;;;
Nouvelle-Aquitaine;Données définitives;01/01/2012;03:00;5249;134;6251;108;-1;67;-;186;-1496
Nouvelle-Aquitaine;Données définitives;01/01/2012;03:15;;;;;;;;;
Nouvelle-Aquitaine;Données définitives;01/01/2012;03:30;5082;133;6348;102;-1;67;-;187;-1755
Nouvelle-Aquitaine;Données définitives;01/01/2012;03:45;;;;;;;;;
Nouvelle-Aquitaine;Données définitives;01/01/2012;04:00;4832;133;6285;97;-1;66;-;189;-1939
Nouvelle-Aquitaine;Données définitives;01/01/2012;04:15;;;;;;;;;
Nouvelle-Aquitaine;Données définitives;01/01/2012;04:30;4775;134;6396;87;-1;70;-;189;-2100
Nouvelle-Aquitaine;Données définitives;01/01/2012;04:45;;;;;;;;;
Nouvelle-Aquitaine;Données définitives;01/01/2012;05:00;4730;134;6326;78;-1;71;-;188;-2066
Nouvelle-Aquitaine;Données définitives;01/01/2012;05:15;;;;;;;;;
Nouvelle-Aquitaine;Données définitives;01/01/2012;05:30;4741;134;6358;88;-1;70;-;191;-2099
Nouvelle-Aquitaine;Données définitives;01/01/2012;05:45;;;;;;;;;
Nouvelle-Aquitaine;Données définitives;01/01/2012;06:00;4778;134;6336;98;-1;69;-;187;-2045
Nouvelle-Aquitaine;Données définitives;01/01/2012;06:15;;;;;;;;;
Nouvelle-Aquitaine;Données définitives;01/01/2012;06:30;4838;134;6395;100;-1;73;-;189;-2052
Nouvelle-Aquitaine;Données définitives;01/01/2012;06:45;;;;;;;;;
Nouvelle-Aquitaine;Données définitives;01/01/2012;07:00;4843;134;6365;109;-1;76;-;190;-2028
Nouvelle-Aquitaine;Données définitives;01/01/2012;07:15;;;;;;;;;
Nouvelle-Aquitaine;Données définitives;01/01/2012;07:30;4843;131;6263;118;-1;72;-;190;-1931
Nouvelle-Aquitaine;Données définitives;01/01/2012;07:45;;;;;;;;;
