gen_14_56;gen_10_62;gen_48_57;gen_53_55;gen_55_58;gen_58_54;gen_61_61;gen_79_59;gen_59_63;gen_89_60
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.005;0.007;0.049;0.117;0.094;0.063;0.11800000000000001;0.093;0.061;0.0
0.263;0.267;0.289;0.369;0.34;0.308;0.402;0.362;0.324;0.036000000000000004
0.47400000000000003;0.47900000000000004;0.47000000000000003;0.534;0.509;0.485;0.5720000000000001;0.535;0.506;0.148
0.6000000000000001;0.602;0.5730000000000001;0.624;0.602;0.585;0.665;0.629;0.606;0.196
0.658;0.656;0.609;0.651;0.631;0.619;0.6940000000000001;0.658;0.641;0.231
0.653;0.644;0.59;0.619;0.602;0.595;0.661;0.629;0.615;0.312
0.591;0.578;0.503;0.525;0.511;0.508;0.5670000000000001;0.538;0.528;0.179
0.464;0.443;0.34500000000000003;0.356;0.34700000000000003;0.34900000000000003;0.397;0.374;0.366;0.069
0.249;0.22;0.115;0.11900000000000001;0.107;0.115;0.145;0.122;0.122;0.007
0.011;0.003;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.002;0.002;0.059000000000000004;0.116;0.095;0.07200000000000001;0.11800000000000001;0.1;0.069;0.0
0.082;0.077;0.32;0.363;0.337;0.327;0.399;0.371;0.339;0.045
