gen_3_0;gen_24_10;gen_26_11;gen_39_16;gen_48_19;gen_61_25;gen_88_39;gen_99_44;gen_106_48;gen_111_51
0.066;0.2;0.14400000000000002;0.012;0.022;0.058;0.299;0.28;0.262;0.274
0.055;0.223;0.17200000000000001;0.013000000000000001;0.032;0.067;0.244;0.219;0.192;0.224
0.061;0.20500000000000002;0.195;0.018000000000000002;0.044;0.07100000000000001;0.17200000000000001;0.155;0.117;0.169
0.064;0.188;0.212;0.022;0.055;0.081;0.081;0.07200000000000001;0.043000000000000003;0.089
0.075;0.194;0.198;0.026000000000000002;0.057;0.10200000000000001;0.018000000000000002;0.012;0.003;0.023
0.08700000000000001;0.192;0.178;0.031;0.053;0.12;0.002;0.002;0.008;0.002
0.109;0.20800000000000002;0.152;0.042;0.059000000000000004;0.126;0.031;0.035;0.059000000000000004;0.017
0.133;0.24;0.137;0.064;0.076;0.115;0.11;0.08700000000000001;0.136;0.058
0.147;0.281;0.126;0.08600000000000001;0.08700000000000001;0.114;0.183;0.109;0.187;0.088
0.133;0.323;0.133;0.091;0.07200000000000001;0.11900000000000001;0.20700000000000002;0.124;0.222;0.10200000000000001
0.159;0.39;0.158;0.089;0.068;0.146;0.23900000000000002;0.155;0.268;0.14100000000000001
0.203;0.464;0.186;0.074;0.078;0.20500000000000002;0.308;0.23;0.34500000000000003;0.20700000000000002
0.315;0.46;0.176;0.065;0.08600000000000001;0.281;0.35000000000000003;0.28200000000000003;0.389;0.25
0.41000000000000003;0.41600000000000004;0.156;0.07;0.101;0.373;0.324;0.28500000000000003;0.375;0.264
0.43;0.383;0.136;0.084;0.116;0.466;0.357;0.292;0.37;0.305
0.47000000000000003;0.46;0.16;0.109;0.158;0.549;0.41300000000000003;0.338;0.41300000000000003;0.353
0.557;0.562;0.28400000000000003;0.147;0.213;0.601;0.433;0.387;0.47200000000000003;0.373
0.65;0.593;0.385;0.191;0.266;0.628;0.486;0.48;0.582;0.406
0.68;0.59;0.41300000000000003;0.225;0.304;0.648;0.526;0.539;0.652;0.434
0.705;0.548;0.423;0.248;0.336;0.652;0.599;0.5730000000000001;0.682;0.482
0.6920000000000001;0.59;0.402;0.27;0.373;0.654;0.646;0.612;0.708;0.524
0.673;0.504;0.359;0.297;0.373;0.657;0.6920000000000001;0.631;0.711;0.5730000000000001
0.636;0.467;0.298;0.296;0.365;0.663;0.711;0.629;0.6980000000000001;0.596
0.595;0.45;0.226;0.28400000000000003;0.433;0.683;0.6970000000000001;0.61;0.675;0.586
0.518;0.47200000000000003;0.187;0.295;0.492;0.706;0.6910000000000001;0.554;0.623;0.561
0.433;0.509;0.20600000000000002;0.32;0.489;0.6980000000000001;0.62;0.509;0.578;0.524
0.336;0.521;0.271;0.325;0.483;0.679;0.539;0.459;0.525;0.491
0.34800000000000003;0.553;0.30000000000000004;0.304;0.502;0.664;0.524;0.427;0.464;0.486
0.312;0.587;0.281;0.269;0.497;0.636;0.544;0.47500000000000003;0.545;0.498
0.323;0.593;0.28600000000000003;0.23700000000000002;0.486;0.5710000000000001;0.561;0.486;0.577;0.467
0.331;0.5710000000000001;0.327;0.23900000000000002;0.47000000000000003;0.459;0.546;0.455;0.585;0.436
0.339;0.5700000000000001;0.35100000000000003;0.232;0.34500000000000003;0.387;0.54;0.462;0.5750000000000001;0.437
0.28600000000000003;0.539;0.324;0.212;0.203;0.312;0.589;0.508;0.628;0.47500000000000003
0.245;0.515;0.271;0.20700000000000002;0.12;0.313;0.6970000000000001;0.556;0.716;0.526
0.23800000000000002;0.556;0.277;0.182;0.043000000000000003;0.326;0.734;0.62;0.767;0.556
0.365;0.667;0.427;0.125;0.012;0.398;0.8170000000000001;0.739;0.838;0.672
0.432;0.749;0.486;0.10300000000000001;0.064;0.47500000000000003;0.849;0.806;0.869;0.747
0.429;0.728;0.47700000000000004;0.117;0.146;0.518;0.864;0.8300000000000001;0.881;0.799
0.357;0.626;0.39;0.139;0.216;0.492;0.875;0.846;0.882;0.8270000000000001
0.292;0.539;0.35100000000000003;0.188;0.269;0.464;0.87;0.852;0.877;0.845
0.28400000000000003;0.486;0.406;0.271;0.299;0.467;0.837;0.8270000000000001;0.872;0.8320000000000001
0.28400000000000003;0.447;0.399;0.355;0.28;0.498;0.839;0.8250000000000001;0.878;0.8130000000000001
0.252;0.422;0.362;0.425;0.278;0.56;0.869;0.8300000000000001;0.894;0.8240000000000001
0.233;0.382;0.341;0.536;0.28800000000000003;0.603;0.914;0.857;0.919;0.858
