gen_14_56;gen_10_62;gen_48_57;gen_53_55;gen_55_58;gen_58_54;gen_61_61;gen_79_59;gen_59_63;gen_89_60
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.055;0.108;0.09;0.064;0.115;0.093;0.055;0.0
0.041;0.027;0.295;0.34800000000000003;0.325;0.307;0.393;0.356;0.297;0.001
0.162;0.09;0.466;0.501;0.482;0.48;0.56;0.523;0.47000000000000003;0.01
0.4;0.247;0.561;0.602;0.581;0.5740000000000001;0.652;0.616;0.5710000000000001;0.028
0.5650000000000001;0.47700000000000004;0.593;0.63;0.611;0.605;0.68;0.644;0.61;0.043000000000000003
0.5650000000000001;0.525;0.5690000000000001;0.6000000000000001;0.582;0.578;0.65;0.614;0.585;0.032
0.47200000000000003;0.47300000000000003;0.486;0.508;0.492;0.493;0.556;0.524;0.499;0.024
0.265;0.294;0.335;0.343;0.331;0.339;0.386;0.363;0.34500000000000003;0.015
0.081;0.061;0.114;0.111;0.101;0.115;0.13;0.12;0.114;0.0
0.001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.003;0.007;0.008;0.004;0.005;0.0;0.0;0.0
0.034;0.044;0.026000000000000002;0.042;0.049;0.033;0.036000000000000004;0.008;0.01;0.007
