gen_3_0;gen_24_10;gen_26_11;gen_39_16;gen_48_19;gen_61_25;gen_88_39;gen_99_44;gen_106_48;gen_111_51
0.195;0.436;0.382;0.157;0.381;0.385;0.6920000000000001;0.601;0.5760000000000001;0.5700000000000001
0.178;0.403;0.375;0.138;0.376;0.37;0.712;0.592;0.674;0.548
0.17;0.37;0.361;0.124;0.371;0.354;0.753;0.609;0.672;0.603
0.156;0.393;0.335;0.11800000000000001;0.372;0.353;0.666;0.5730000000000001;0.598;0.593
0.137;0.34800000000000003;0.325;0.108;0.355;0.342;0.595;0.525;0.623;0.488
0.11900000000000001;0.329;0.31;0.098;0.323;0.323;0.645;0.5750000000000001;0.5750000000000001;0.636
0.10400000000000001;0.36;0.275;0.081;0.289;0.31;0.634;0.561;0.559;0.638
0.099;0.384;0.233;0.065;0.26;0.301;0.664;0.536;0.5730000000000001;0.585
0.094;0.365;0.19;0.047;0.203;0.256;0.656;0.508;0.545;0.534
0.066;0.278;0.14200000000000002;0.026000000000000002;0.108;0.178;0.531;0.448;0.498;0.451
0.044;0.278;0.101;0.017;0.10300000000000001;0.186;0.489;0.422;0.493;0.431
0.041;0.291;0.07200000000000001;0.012;0.135;0.23500000000000001;0.521;0.445;0.554;0.45
0.038;0.268;0.042;0.008;0.13;0.23700000000000002;0.555;0.5760000000000001;0.636;0.521
0.038;0.212;0.019;0.006;0.10200000000000001;0.199;0.604;0.654;0.68;0.623
0.032;0.159;0.021;0.009000000000000001;0.066;0.13;0.662;0.6890000000000001;0.738;0.662
0.026000000000000002;0.17200000000000001;0.059000000000000004;0.022;0.036000000000000004;0.079;0.767;0.791;0.852;0.743
0.032;0.232;0.14400000000000002;0.034;0.008;0.053;0.837;0.847;0.897;0.8320000000000001
0.07100000000000001;0.28200000000000003;0.222;0.041;0.003;0.052000000000000005;0.897;0.892;0.93;0.9
0.14;0.326;0.233;0.039;0.034;0.078;0.912;0.936;0.935;0.9400000000000001
0.23500000000000001;0.355;0.212;0.035;0.093;0.121;0.864;0.932;0.876;0.9440000000000001
0.41000000000000003;0.362;0.21;0.031;0.136;0.145;0.765;0.868;0.776;0.894
0.498;0.342;0.218;0.028;0.171;0.15;0.6960000000000001;0.757;0.684;0.812
0.532;0.371;0.219;0.027;0.2;0.199;0.647;0.656;0.596;0.708
0.533;0.40800000000000003;0.225;0.029;0.212;0.323;0.588;0.524;0.506;0.581
0.529;0.419;0.273;0.035;0.233;0.459;0.526;0.422;0.45;0.468
0.519;0.41100000000000003;0.307;0.049;0.27;0.541;0.47200000000000003;0.375;0.40700000000000003;0.39
0.507;0.494;0.325;0.07200000000000001;0.314;0.549;0.386;0.352;0.367;0.356
0.539;0.589;0.434;0.111;0.364;0.544;0.34500000000000003;0.353;0.361;0.338
0.503;0.596;0.535;0.156;0.39;0.532;0.365;0.329;0.34900000000000003;0.336
0.481;0.381;0.542;0.184;0.427;0.46900000000000003;0.388;0.263;0.366;0.28300000000000003
0.393;0.371;0.555;0.194;0.459;0.35100000000000003;0.448;0.312;0.43;0.28600000000000003
0.422;0.53;0.40700000000000003;0.178;0.421;0.244;0.467;0.35100000000000003;0.451;0.332
0.463;0.518;0.326;0.16;0.341;0.182;0.48;0.362;0.459;0.354
