name,Pmax,Pmin,type,bus,max_ramp_up,max_ramp_down,min_up_time,min_down_time,marginal_cost,shut_down_cost,start_cost,zone,generator,x,y,V
gen_3_0,67.2,0.0,wind,3,,,0.0,0.0,0.0,0,0.0,R1,0,62,-101,142.1
gen_3_1,67.2,0.0,wind,3,,,0.0,0.0,0.0,0,0.0,R1,70,62,-101,142.1
gen_7_2,67.2,0.0,wind,7,,,0.0,0.0,0.0,0,0.0,R1,2,74,-293,355.4
gen_9_3,67.2,0.0,wind,9,,,0.0,0.0,0.0,0,0.0,R1,3,74,-390,355.4
gen_10_4,67.2,0.0,wind,10,,,0.0,0.0,0.0,0,0.0,R1,69,116,-104,142.1
gen_10_5,67.2,0.0,wind,10,,,0.0,0.0,0.0,0,0.0,R1,62,116,-104,142.1
gen_11_6,67.2,0.0,wind,11,,,0.0,0.0,0.0,0,0.0,R1,4,191,-82,142.1
gen_14_7,200.0,0.0,thermal,14,5.8,5.8,12.0,12.0,50.0,0,3392.3,R1,56,284,-159,142.1
gen_14_8,67.2,0.0,wind,14,,,0.0,0.0,0.0,0,0.0,R1,5,284,-159,142.1
gen_14_9,67.2,0.0,wind,14,,,0.0,0.0,0.0,0,0.0,R1,64,284,-159,142.1
gen_17_10,250.0,0.0,hydro,17,10.4,10.4,12.0,12.0,36.0,0,0.0,R1,6,317,-250,142.1
gen_18_11,67.2,0.0,wind,18,,,0.0,0.0,0.0,0,0.0,R1,7,351,-212,142.1
gen_24_12,67.2,0.0,wind,24,,,0.0,0.0,0.0,0,0.0,R1,10,315,-479,142.1
gen_25_13,67.2,0.0,wind,25,,,0.0,0.0,0.0,0,0.0,R1,9,267,-446,355.4
gen_26_14,67.2,0.0,wind,26,,,0.0,0.0,0.0,0,0.0,R1,71,124,-425,142.1
gen_26_15,67.2,0.0,wind,26,,,0.0,0.0,0.0,0,0.0,R1,11,124,-425,142.1
gen_33_16,74.7,0.0,solar,33,,,0.0,0.0,0.0,0,0.0,R2,14,548,-155,142.1
gen_39_17,250.0,0.0,hydro,39,10.4,10.4,12.0,12.0,36.0,0,0.0,R2,16,612,-46,142.1
gen_41_18,67.2,0.0,wind,41,,,0.0,0.0,0.0,0,0.0,R2,17,700,-46,142.1
gen_41_19,67.2,0.0,wind,41,,,0.0,0.0,0.0,0,0.0,R2,20,700,-46,142.1
gen_45_20,67.2,0.0,wind,45,,,0.0,0.0,0.0,0,0.0,R2,18,668,-233,142.1
