name,Pmax,Pmin,type,bus,max_ramp_up,max_ramp_down,min_up_time,min_down_time,marginal_cost,shut_down_cost,start_cost,zone,generator,x,y,V
gen_3_0,67.2,0.0,wind,3,,,0.0,0.0,0.0,0,0.0,R1,0,62,-101,142.1
gen_3_1,200.0,0.0,thermal,3,5.8,5.8,12.0,12.0,50.0,0,3392.3,R1,70,62,-101,142.1
gen_7_2,67.2,0.0,wind,7,,,0.0,0.0,0.0,0,0.0,R1,2,74,-293,355.4
gen_9_3,200.0,0.0,thermal,9,5.8,5.8,12.0,12.0,50.0,0,3392.3,R1,3,74,-390,355.4
gen_10_4,74.7,0.0,solar,10,,,0.0,0.0,0.0,0,0.0,R1,69,116,-104,142.1
gen_10_5,67.2,0.0,wind,10,,,0.0,0.0,0.0,0,0.0,R1,62,116,-104,142.1
gen_11_6,74.7,0.0,solar,11,,,0.0,0.0,0.0,0,0.0,R1,4,191,-82,142.1
gen_14_7,74.7,0.0,solar,14,,,0.0,0.0,0.0,0,0.0,R1,56,284,-159,142.1
gen_14_8,74.7,0.0,solar,14,,,0.0,0.0,0.0,0,0.0,R1,5,284,-159,142.1
gen_14_9,74.7,0.0,solar,14,,,0.0,0.0,0.0,0,0.0,R1,64,284,-159,142.1
gen_17_10,74.7,0.0,solar,17,,,0.0,0.0,0.0,0,0.0,R1,6,317,-250,142.1
gen_18_11,200.0,0.0,thermal,18,5.8,5.8,12.0,12.0,50.0,0,3392.3,R1,7,351,-212,142.1
gen_24_12,74.7,0.0,solar,24,,,0.0,0.0,0.0,0,0.0,R1,10,315,-479,142.1
gen_25_13,250.0,0.0,hydro,25,10.4,10.4,12.0,12.0,36.0,0,0.0,R1,9,267,-446,355.4
gen_26_14,200.0,0.0,thermal,26,5.8,5.8,12.0,12.0,50.0,0,3392.3,R1,71,124,-425,142.1
gen_26_15,200.0,0.0,thermal,26,5.8,5.8,12.0,12.0,50.0,0,3392.3,R1,11,124,-425,142.1
gen_33_16,74.7,0.0,solar,33,,,0.0,0.0,0.0,0,0.0,R2,14,548,-155,142.1
gen_39_17,67.2,0.0,wind,39,,,0.0,0.0,0.0,0,0.0,R2,16,612,-46,142.1
gen_41_18,200.0,0.0,thermal,41,5.8,5.8,12.0,12.0,50.0,0,3392.3,R2,17,700,-46,142.1
gen_41_19,67.2,0.0,wind,41,,,0.0,0.0,0.0,0,0.0,R2,20,700,-46,142.1
gen_45_20,74.7,0.0,solar,45,,,0.0,0.0,0.0,0,0.0,R2,18,668,-233,142.1
gen_48_21,74.7,0.0,solar,48,,,0.0,0.0,0.0,0,0.0,R2,72,772,-249,142.1
gen_48_22,200.0,0.0,thermal,48,5.8,5.8,12.0,12.0,50.0,0,3392.3,R2,65,772,-249,142.1
gen_48_23,67.2,0.0,wind,48,,,0.0,0.0,0.0,0,0.0,R2,57,772,-249,142.1
gen_48_24,200.0,0.0,thermal,48,5.8,5.8,12.0,12.0,50.0,0,3392.3,R2,19,772,-249,142.1
gen_53_25,67.2,0.0,wind,53,,,0.0,0.0,0.0,0,0.0,R2,55,790,-48,142.1
gen_54_26,74.7,0.0,solar,54,,,0.0,0.0,0.0,0,0.0,R2,21,899,-46,142.1
gen_55_27,67.2,0.0,wind,55,,,0.0,0.0,0.0,0,0.0,R2,66,844,-45,142.1
gen_55_28,74.7,0.0,solar,55,,,0.0,0.0,0.0,0,0.0,R2,58,844,-45,142.1
gen_55_29,400.0,0.0,nuclear,55,2.8,2.8,2016.0,2016.0,35.0,0,27728.7,R2,22,844,-45,142.1
gen_58_30,200.0,0.0,thermal,58,5.8,5.8,12.0,12.0,50.0,0,3392.3,R2,54,950,-69,142.1
gen_59_31,74.7,0.0,solar,59,,,0.0,0.0,0.0,0,0.0,R2,63,950,-164,142.1
gen_60_32,250.0,0.0,hydro,60,10.4,10.4,12.0,12.0,36.0,0,0.0,R2,24,950,-216,142.1
gen_61_33,67.2,0.0,wind,61,,,0.0,0.0,0.0,0,0.0,R2,25,913,-311,142.1
gen_61_34,200.0,0.0,thermal,61,5.8,5.8,12.0,12.0,50.0,0,3392.3,R2,61,913,-311,142.1
gen_64_35,74.7,0.0,solar,64,,,0.0,0.0,0.0,0,0.0,R2,26,863,-364,355.4
gen_65_36,67.2,0.0,wind,65,,,0.0,0.0,0.0,0,0.0,R2,27,845,-311,142.1
gen_68_37,250.0,0.0,hydro,68,10.4,10.4,12.0,12.0,36.0,0,0.0,R2,28,727,-339,142.1
gen_69_38,250.0,0.0,hydro,69,10.4,10.4,12.0,12.0,36.0,0,0.0,R1,31,582,-346,142.1
gen_69_39,200.0,0.0,thermal,69,5.8,5.8,12.0,12.0,50.0,0,3392.3,R1,29,582,-346,142.1
gen_75_40,200.0,0.0,thermal,75,5.8,5.8,12.0,12.0,50.0,0,3392.3,R2,33,688,-486,142.1
gen_76_41,200.0,0.0,thermal,76,5.8,5.8,12.0,12.0,50.0,0,3392.3,R2,35,718,-518,142.1
gen_76_42,67.2,0.0,wind,76,,,0.0,0.0,0.0,0,0.0,R2,23,718,-518,142.1
gen_79_43,74.7,0.0,solar,79,,,0.0,0.0,0.0,0,0.0,R2,59,778,-486,142.1
