Périmètre;Nature;Date;Heures;Consommation;Thermique;Nucléaire;Eolien;Solaire;Hydraulique;Pompage;Bioénergies;Ech. physiques
Hauts-de-France;Données définitives;01/01/2017;00:00;7417;1780;3522;21;0;1;0;100;1993
Hauts-de-France;Données définitives;01/01/2017;00:15;;;;;;;;;
Hauts-de-France;Données définitives;01/01/2017;00:30;7440;1689;3522;29;0;1;0;108;2090
Hauts-de-France;Données définitives;01/01/2017;00:45;;;;;;;;;
Hauts-de-France;Données définitives;01/01/2017;01:00;7224;1672;3525;32;0;1;0;107;1886
Hauts-de-France;Données définitives;01/01/2017;01:15;;;;;;;;;
Hauts-de-France;Données définitives;01/01/2017;01:30;7314;1670;3521;37;0;1;0;107;1979
Hauts-de-France;Données définitives;01/01/2017;01:45;;;;;;;;;
Hauts-de-France;Données définitives;01/01/2017;02:00;7189;1665;3524;29;0;1;0;109;1861
Hauts-de-France;Données définitives;01/01/2017;02:15;;;;;;;;;
Hauts-de-France;Données définitives;01/01/2017;02:30;7017;1684;3522;29;0;1;0;108;1673
Hauts-de-France;Données définitives;01/01/2017;02:45;;;;;;;;;
Hauts-de-France;Données définitives;01/01/2017;03:00;6837;1648;3523;31;0;1;0;108;1524
Hauts-de-France;Données définitives;01/01/2017;03:15;;;;;;;;;
Hauts-de-France;Données définitives;01/01/2017;03:30;6670;1353;3525;35;0;1;0;107;1649
Hauts-de-France;Données définitives;01/01/2017;03:45;;;;;;;;;
Hauts-de-France;Données définitives;01/01/2017;04:00;6555;1212;3521;36;0;1;0;106;1680
Hauts-de-France;Données définitives;01/01/2017;04:15;;;;;;;;;
Hauts-de-France;Données définitives;01/01/2017;04:30;6428;1263;3523;35;0;1;0;109;1496
Hauts-de-France;Données définitives;01/01/2017;04:45;;;;;;;;;
Hauts-de-France;Données définitives;01/01/2017;05:00;6352;1265;3521;43;0;1;0;109;1413
Hauts-de-France;Données définitives;01/01/2017;05:15;;;;;;;;;
Hauts-de-France;Données définitives;01/01/2017;05:30;6325;1281;3521;43;0;1;0;109;1371
Hauts-de-France;Données définitives;01/01/2017;05:45;;;;;;;;;
Hauts-de-France;Données définitives;01/01/2017;06:00;6290;1298;3521;48;0;1;0;108;1314
Hauts-de-France;Données définitives;01/01/2017;06:15;;;;;;;;;
Hauts-de-France;Données définitives;01/01/2017;06:30;6319;1270;3521;50;0;1;0;109;1368
Hauts-de-France;Données définitives;01/01/2017;06:45;;;;;;;;;
Hauts-de-France;Données définitives;01/01/2017;07:00;6326;1262;3518;53;0;1;0;108;1384
Hauts-de-France;Données définitives;01/01/2017;07:15;;;;;;;;;
Hauts-de-France;Données définitives;01/01/2017;07:30;6321;1254;3513;57;0;1;0;105;1390
Hauts-de-France;Données définitives;01/01/2017;07:45;;;;;;;;;
Hauts-de-France;Données définitives;01/01/2017;08:00;6449;1254;3512;53;0;1;0;108;1521
Hauts-de-France;Données définitives;01/01/2017;08:15;;;;;;;;;
Hauts-de-France;Données définitives;01/01/2017;08:30;6509;1267;3516;62;0;1;0;109;1554
Hauts-de-France;Données définitives;01/01/2017;08:45;;;;;;;;;
Hauts-de-France;Données définitives;01/01/2017;09:00;6495;1278;3515;74;0;1;0;107;1520
Hauts-de-France;Données définitives;01/01/2017;09:15;;;;;;;;;
Hauts-de-France;Données définitives;01/01/2017;09:30;6529;1287;3513;60;0;1;0;108;1559
Hauts-de-France;Données définitives;01/01/2017;09:45;;;;;;;;;
Hauts-de-France;Données définitives;01/01/2017;10:00;6688;1315;3513;58;2;1;0;108;1691
Hauts-de-France;Données définitives;01/01/2017;10:15;;;;;;;;;
Hauts-de-France;Données définitives;01/01/2017;10:30;6744;1269;3515;60;3;1;0;108;1787
Hauts-de-France;Données définitives;01/01/2017;10:45;;;;;;;;;
Hauts-de-France;Données définitives;01/01/2017;11:00;6844;1299;3516;60;4;1;0;106;1857
Hauts-de-France;Données définitives;01/01/2017;11:15;;;;;;;;;
Hauts-de-France;Données définitives;01/01/2017;11:30;7019;1300;3515;67;5;1;0;109;2022
Hauts-de-France;Données définitives;01/01/2017;11:45;;;;;;;;;
Hauts-de-France;Données définitives;01/01/2017;12:00;7139;1315;3517;82;6;1;0;107;2110
Hauts-de-France;Données définitives;01/01/2017;12:15;;;;;;;;;
Hauts-de-France;Données définitives;01/01/2017;12:30;7194;1306;3519;94;8;1;0;108;2158
Hauts-de-France;Données définitives;01/01/2017;12:45;;;;;;;;;
Hauts-de-France;Données définitives;01/01/2017;13:00;7403;1289;3519;94;8;1;0;109;2383
Hauts-de-France;Données définitives;01/01/2017;13:15;;;;;;;;;
Hauts-de-France;Données définitives;01/01/2017;13:30;7321;1284;3520;90;7;1;0;109;2311
Hauts-de-France;Données définitives;01/01/2017;13:45;;;;;;;;;
Hauts-de-France;Données définitives;01/01/2017;14:00;7129;1267;3520;73;5;1;0;103;2159
Hauts-de-France;Données définitives;01/01/2017;14:15;;;;;;;;;
Hauts-de-France;Données définitives;01/01/2017;14:30;7024;1263;3518;78;6;1;0;110;2049
Hauts-de-France;Données définitives;01/01/2017;14:45;;;;;;;;;
Hauts-de-France;Données définitives;01/01/2017;15:00;6924;1207;3517;89;6;1;0;107;1997
Hauts-de-France;Données définitives;01/01/2017;15:15;;;;;;;;;
Hauts-de-France;Données définitives;01/01/2017;15:30;6822;1387;3520;91;4;1;0;108;1711
Hauts-de-France;Données définitives;01/01/2017;15:45;;;;;;;;;
Hauts-de-France;Données définitives;01/01/2017;16:00;6749;1670;3517;102;2;1;0;106;1352
Hauts-de-France;Données définitives;01/01/2017;16:15;;;;;;;;;
Hauts-de-France;Données définitives;01/01/2017;16:30;6764;1661;3520;124;1;1;0;108;1350
Hauts-de-France;Données définitives;01/01/2017;16:45;;;;;;;;;
Hauts-de-France;Données définitives;01/01/2017;17:00;6805;1684;3515;123;0;1;0;109;1372
Hauts-de-France;Données définitives;01/01/2017;17:15;;;;;;;;;
Hauts-de-France;Données définitives;01/01/2017;17:30;7057;1670;3518;123;0;1;0;109;1635
Hauts-de-France;Données définitives;01/01/2017;17:45;;;;;;;;;
Hauts-de-France;Données définitives;01/01/2017;18:00;7201;1725;3514;131;0;1;0;109;1720
