Périmètre;Nature;Date;Heures;Consommation;Thermique;Nucléaire;Eolien;Solaire;Hydraulique;Pompage;Bioénergies;Ech. physiques
Nouvelle-Aquitaine;Données définitives;01/01/2013;00:00;ND;ND;ND;ND;ND;ND;ND;ND;ND
Nouvelle-Aquitaine;Données définitives;01/01/2013;00:15;;;;;;;;;
Nouvelle-Aquitaine;Données définitives;01/01/2013;00:30;5464;240;4993;175;0;427;-;142;-518
Nouvelle-Aquitaine;Données définitives;01/01/2013;00:45;;;;;;;;;
Nouvelle-Aquitaine;Données définitives;01/01/2013;01:00;5422;241;4962;185;0;421;-;143;-537
Nouvelle-Aquitaine;Données définitives;01/01/2013;01:15;;;;;;;;;
Nouvelle-Aquitaine;Données définitives;01/01/2013;01:30;5514;247;5069;170;0;365;-;144;-489
Nouvelle-Aquitaine;Données définitives;01/01/2013;01:45;;;;;;;;;
Nouvelle-Aquitaine;Données définitives;01/01/2013;02:00;5443;242;5076;154;0;365;-;141;-541
Nouvelle-Aquitaine;Données définitives;01/01/2013;02:15;;;;;;;;;
Nouvelle-Aquitaine;Données définitives;01/01/2013;02:30;5516;241;5059;144;0;272;-;141;-345
Nouvelle-Aquitaine;Données définitives;01/01/2013;02:45;;;;;;;;;
Nouvelle-Aquitaine;Données définitives;01/01/2013;03:00;5156;243;5017;131;0;274;-;145;-658
Nouvelle-Aquitaine;Données définitives;01/01/2013;03:15;;;;;;;;;
Nouvelle-Aquitaine;Données définitives;01/01/2013;03:30;4970;248;4994;131;0;280;-;143;-831
Nouvelle-Aquitaine;Données définitives;01/01/2013;03:45;;;;;;;;;
Nouvelle-Aquitaine;Données définitives;01/01/2013;04:00;4736;247;5020;119;0;278;-;143;-1076
Nouvelle-Aquitaine;Données définitives;01/01/2013;04:15;;;;;;;;;
Nouvelle-Aquitaine;Données définitives;01/01/2013;04:30;4556;246;4208;99;0;273;-;145;-418
Nouvelle-Aquitaine;Données définitives;01/01/2013;04:45;;;;;;;;;
Nouvelle-Aquitaine;Données définitives;01/01/2013;05:00;4435;245;3375;98;0;268;-;143;298
Nouvelle-Aquitaine;Données définitives;01/01/2013;05:15;;;;;;;;;
Nouvelle-Aquitaine;Données définitives;01/01/2013;05:30;4500;245;3071;84;0;269;-;145;680
Nouvelle-Aquitaine;Données définitives;01/01/2013;05:45;;;;;;;;;
Nouvelle-Aquitaine;Données définitives;01/01/2013;06:00;4412;245;3077;86;0;272;-;143;581
Nouvelle-Aquitaine;Données définitives;01/01/2013;06:15;;;;;;;;;
Nouvelle-Aquitaine;Données définitives;01/01/2013;06:30;4440;246;3078;89;0;285;-;146;591
Nouvelle-Aquitaine;Données définitives;01/01/2013;06:45;;;;;;;;;
Nouvelle-Aquitaine;Données définitives;01/01/2013;07:00;4422;245;3078;85;0;289;-;144;575
Nouvelle-Aquitaine;Données définitives;01/01/2013;07:15;;;;;;;;;
Nouvelle-Aquitaine;Données définitives;01/01/2013;07:30;4454;244;3078;74;0;321;-;143;587
Nouvelle-Aquitaine;Données définitives;01/01/2013;07:45;;;;;;;;;
Nouvelle-Aquitaine;Données définitives;01/01/2013;08:00;4458;244;3076;72;0;323;-;142;597
Nouvelle-Aquitaine;Données définitives;01/01/2013;08:15;;;;;;;;;
Nouvelle-Aquitaine;Données définitives;01/01/2013;08:30;4384;240;3046;70;0;339;-;142;541
Nouvelle-Aquitaine;Données définitives;01/01/2013;08:45;;;;;;;;;
Nouvelle-Aquitaine;Données définitives;01/01/2013;09:00;4468;240;3248;63;0;353;-;141;418
Nouvelle-Aquitaine;Données définitives;01/01/2013;09:15;;;;;;;;;
Nouvelle-Aquitaine;Données définitives;01/01/2013;09:30;4548;238;3644;54;11;356;-;143;93
Nouvelle-Aquitaine;Données définitives;01/01/2013;09:45;;;;;;;;;
Nouvelle-Aquitaine;Données définitives;01/01/2013;10:00;4611;245;4081;51;36;432;-;141;-381
Nouvelle-Aquitaine;Données définitives;01/01/2013;10:15;;;;;;;;;
Nouvelle-Aquitaine;Données définitives;01/01/2013;10:30;4636;245;4105;46;69;417;-;140;-392
Nouvelle-Aquitaine;Données définitives;01/01/2013;10:45;;;;;;;;;
Nouvelle-Aquitaine;Données définitives;01/01/2013;11:00;4743;245;4266;42;101;425;-;143;-483
Nouvelle-Aquitaine;Données définitives;01/01/2013;11:15;;;;;;;;;
Nouvelle-Aquitaine;Données définitives;01/01/2013;11:30;4887;243;4412;45;123;399;-;143;-484
Nouvelle-Aquitaine;Données définitives;01/01/2013;11:45;;;;;;;;;
Nouvelle-Aquitaine;Données définitives;01/01/2013;12:00;4917;242;4583;39;126;390;-;142;-612
Nouvelle-Aquitaine;Données définitives;01/01/2013;12:15;;;;;;;;;
Nouvelle-Aquitaine;Données définitives;01/01/2013;12:30;5094;242;4726;41;124;388;-;142;-576
Nouvelle-Aquitaine;Données définitives;01/01/2013;12:45;;;;;;;;;
Nouvelle-Aquitaine;Données définitives;01/01/2013;13:00;5344;243;4841;39;171;471;-;140;-567
Nouvelle-Aquitaine;Données définitives;01/01/2013;13:15;;;;;;;;;
Nouvelle-Aquitaine;Données définitives;01/01/2013;13:30;5022;237;4935;48;121;482;-;140;-946
Nouvelle-Aquitaine;Données définitives;01/01/2013;13:45;;;;;;;;;
Nouvelle-Aquitaine;Données définitives;01/01/2013;14:00;5145;236;5217;46;156;324;-;141;-982
Nouvelle-Aquitaine;Données définitives;01/01/2013;14:15;;;;;;;;;
