Périmètre;Nature;Date;Heures;Consommation;Thermique;Nucléaire;Eolien;Solaire;Hydraulique;Pompage;Bioénergies;Ech. physiques
PACA;Données définitives;01/01/2013;00:00;ND;ND;ND;ND;ND;ND;ND;ND;ND
PACA;Données définitives;01/01/2013;00:15;;;;;;;;;
PACA;Données définitives;01/01/2013;00:30;5570;537;-;12;0;1412;0;58;3548
PACA;Données définitives;01/01/2013;00:45;;;;;;;;;
PACA;Données définitives;01/01/2013;01:00;5698;315;-;14;0;1371;0;58;3938
PACA;Données définitives;01/01/2013;01:15;;;;;;;;;
PACA;Données définitives;01/01/2013;01:30;5680;316;-;18;0;1207;0;56;4083
PACA;Données définitives;01/01/2013;01:45;;;;;;;;;
PACA;Données définitives;01/01/2013;02:00;5577;316;-;20;0;1205;0;58;3976
PACA;Données définitives;01/01/2013;02:15;;;;;;;;;
PACA;Données définitives;01/01/2013;02:30;5711;316;-;24;0;1147;0;59;4163
PACA;Données définitives;01/01/2013;02:45;;;;;;;;;
PACA;Données définitives;01/01/2013;03:00;5396;316;-;25;0;1021;0;58;3974
PACA;Données définitives;01/01/2013;03:15;;;;;;;;;
PACA;Données définitives;01/01/2013;03:30;5286;316;-;23;0;1018;0;59;3867
PACA;Données définitives;01/01/2013;03:45;;;;;;;;;
PACA;Données définitives;01/01/2013;04:00;4926;316;-;21;0;1028;0;34;3526
PACA;Données définitives;01/01/2013;04:15;;;;;;;;;
PACA;Données définitives;01/01/2013;04:30;4970;316;-;22;0;1027;0;35;3569
PACA;Données définitives;01/01/2013;04:45;;;;;;;;;
PACA;Données définitives;01/01/2013;05:00;4875;318;-;22;0;1049;0;35;3448
PACA;Données définitives;01/01/2013;05:15;;;;;;;;;
PACA;Données définitives;01/01/2013;05:30;4869;318;-;22;0;1183;0;36;3308
PACA;Données définitives;01/01/2013;05:45;;;;;;;;;
PACA;Données définitives;01/01/2013;06:00;4715;319;-;18;0;1202;0;37;3138
PACA;Données définitives;01/01/2013;06:15;;;;;;;;;
PACA;Données définitives;01/01/2013;06:30;4759;318;-;22;0;1240;0;34;3143
PACA;Données définitives;01/01/2013;06:45;;;;;;;;;
PACA;Données définitives;01/01/2013;07:00;4764;319;-;25;0;1139;0;34;3245
PACA;Données définitives;01/01/2013;07:15;;;;;;;;;
PACA;Données définitives;01/01/2013;07:30;4696;316;-;22;0;1193;0;32;3131
PACA;Données définitives;01/01/2013;07:45;;;;;;;;;
PACA;Données définitives;01/01/2013;08:00;4688;318;-;21;0;1151;0;32;3164
PACA;Données définitives;01/01/2013;08:15;;;;;;;;;
PACA;Données définitives;01/01/2013;08:30;4617;318;-;17;0;1121;-2;32;3129
PACA;Données définitives;01/01/2013;08:45;;;;;;;;;
PACA;Données définitives;01/01/2013;09:00;4761;319;-;6;3;1066;-2;33;3334
PACA;Données définitives;01/01/2013;09:15;;;;;;;;;
PACA;Données définitives;01/01/2013;09:30;4850;319;-;3;8;1232;0;31;3255
PACA;Données définitives;01/01/2013;09:45;;;;;;;;;
PACA;Données définitives;01/01/2013;10:00;5192;318;-;2;19;1347;0;33;3470
PACA;Données définitives;01/01/2013;10:15;;;;;;;;;
PACA;Données définitives;01/01/2013;10:30;5054;319;-;1;25;1396;0;34;3276
PACA;Données définitives;01/01/2013;10:45;;;;;;;;;
PACA;Données définitives;01/01/2013;11:00;5168;317;-;1;28;1307;0;34;3478
PACA;Données définitives;01/01/2013;11:15;;;;;;;;;
PACA;Données définitives;01/01/2013;11:30;5293;319;-;1;40;1328;0;33;3570
PACA;Données définitives;01/01/2013;11:45;;;;;;;;;
PACA;Données définitives;01/01/2013;12:00;5426;319;-;0;42;1345;0;34;3684
PACA;Données définitives;01/01/2013;12:15;;;;;;;;;
PACA;Données définitives;01/01/2013;12:30;5667;319;-;0;47;1613;0;36;3650
PACA;Données définitives;01/01/2013;12:45;;;;;;;;;
PACA;Données définitives;01/01/2013;13:00;5672;320;-;1;37;1618;0;36;3658
PACA;Données définitives;01/01/2013;13:15;;;;;;;;;
PACA;Données définitives;01/01/2013;13:30;5679;319;-;0;41;1482;0;36;3799
PACA;Données définitives;01/01/2013;13:45;;;;;;;;;
PACA;Données définitives;01/01/2013;14:00;5408;319;-;1;37;1255;0;35;3761
PACA;Données définitives;01/01/2013;14:15;;;;;;;;;
PACA;Données définitives;01/01/2013;14:30;5571;318;-;1;28;1153;0;36;4032
PACA;Données définitives;01/01/2013;14:45;;;;;;;;;
PACA;Données définitives;01/01/2013;15:00;5439;319;-;1;22;1102;0;36;3958
PACA;Données définitives;01/01/2013;15:15;;;;;;;;;
PACA;Données définitives;01/01/2013;15:30;5420;319;-;0;16;1105;0;35;3942
PACA;Données définitives;01/01/2013;15:45;;;;;;;;;
PACA;Données définitives;01/01/2013;16:00;5377;319;-;1;8;1120;0;34;3893
PACA;Données définitives;01/01/2013;16:15;;;;;;;;;
PACA;Données définitives;01/01/2013;16:30;5298;318;-;0;4;1232;0;35;3707
PACA;Données définitives;01/01/2013;16:45;;;;;;;;;
PACA;Données définitives;01/01/2013;17:00;5394;318;-;0;0;1247;0;34;3793
PACA;Données définitives;01/01/2013;17:15;;;;;;;;;
PACA;Données définitives;01/01/2013;17:30;5531;318;-;0;0;1304;0;36;3870
PACA;Données définitives;01/01/2013;17:45;;;;;;;;;
PACA;Données définitives;01/01/2013;18:00;6029;318;-;1;0;1436;0;35;4236
PACA;Données définitives;01/01/2013;18:15;;;;;;;;;
PACA;Données définitives;01/01/2013;18:30;5792;319;-;2;0;1474;0;37;3957
PACA;Données définitives;01/01/2013;18:45;;;;;;;;;
PACA;Données définitives;01/01/2013;19:00;5865;320;-;1;0;1678;0;37;3828
