Périmètre;Nature;Date;Heures;Consommation;Thermique;Nucléaire;Eolien;Solaire;Hydraulique;Pompage;Bioénergies;Ech. physiques
PACA;Données définitives;01/01/2012;00:00;5858;412;-;1;0;223;0;83;5139
PACA;Données définitives;01/01/2012;00:15;;;;;;;;;
PACA;Données définitives;01/01/2012;00:30;5477;205;-;0;0;218;0;99;4956
PACA;Données définitives;01/01/2012;00:45;;;;;;;;;
PACA;Données définitives;01/01/2012;01:00;5278;140;-;0;0;203;0;99;4836
PACA;Données définitives;01/01/2012;01:15;;;;;;;;;
PACA;Données définitives;01/01/2012;01:30;5262;140;-;1;0;203;0;97;4820
PACA;Données définitives;01/01/2012;01:45;;;;;;;;;
PACA;Données définitives;01/01/2012;02:00;5154;142;-;0;0;203;0;98;4711
PACA;Données définitives;01/01/2012;02:15;;;;;;;;;
PACA;Données définitives;01/01/2012;02:30;5294;142;-;0;0;192;0;97;4863
PACA;Données définitives;01/01/2012;02:45;;;;;;;;;
PACA;Données définitives;01/01/2012;03:00;4983;144;-;0;0;192;0;96;4551
PACA;Données définitives;01/01/2012;03:15;;;;;;;;;
PACA;Données définitives;01/01/2012;03:30;4790;144;-;0;0;191;0;98;4357
PACA;Données définitives;01/01/2012;03:45;;;;;;;;;
PACA;Données définitives;01/01/2012;04:00;4634;143;-;0;0;194;0;100;4198
PACA;Données définitives;01/01/2012;04:15;;;;;;;;;
PACA;Données définitives;01/01/2012;04:30;4533;143;-;1;0;195;0;97;4097
PACA;Données définitives;01/01/2012;04:45;;;;;;;;;
PACA;Données définitives;01/01/2012;05:00;4450;142;-;1;0;197;0;101;4009
PACA;Données définitives;01/01/2012;05:15;;;;;;;;;
PACA;Données définitives;01/01/2012;05:30;4444;143;-;1;0;196;0;97;4007
PACA;Données définitives;01/01/2012;05:45;;;;;;;;;
PACA;Données définitives;01/01/2012;06:00;4396;145;-;1;0;197;0;98;3955
PACA;Données définitives;01/01/2012;06:15;;;;;;;;;
PACA;Données définitives;01/01/2012;06:30;4378;144;-;1;0;206;0;99;3929
PACA;Données définitives;01/01/2012;06:45;;;;;;;;;
PACA;Données définitives;01/01/2012;07:00;4401;144;-;1;0;206;0;99;3952
PACA;Données définitives;01/01/2012;07:15;;;;;;;;;
PACA;Données définitives;01/01/2012;07:30;4370;144;-;1;0;215;0;99;3912
PACA;Données définitives;01/01/2012;07:45;;;;;;;;;
PACA;Données définitives;01/01/2012;08:00;4365;143;-;2;0;207;0;96;3917
PACA;Données définitives;01/01/2012;08:15;;;;;;;;;
PACA;Données définitives;01/01/2012;08:30;4318;145;-;2;3;215;0;97;3855
PACA;Données définitives;01/01/2012;08:45;;;;;;;;;
PACA;Données définitives;01/01/2012;09:00;4422;144;-;1;34;206;0;99;3938
PACA;Données définitives;01/01/2012;09:15;;;;;;;;;
PACA;Données définitives;01/01/2012;09:30;4522;144;-;1;77;203;0;101;3997
PACA;Données définitives;01/01/2012;09:45;;;;;;;;;
PACA;Données définitives;01/01/2012;10:00;4607;144;-;0;101;204;0;102;4054
PACA;Données définitives;01/01/2012;10:15;;;;;;;;;
PACA;Données définitives;01/01/2012;10:30;4671;142;-;0;153;227;0;102;4047
PACA;Données définitives;01/01/2012;10:45;;;;;;;;;
PACA;Données définitives;01/01/2012;11:00;4739;147;-;0;195;224;0;99;4074
PACA;Données définitives;01/01/2012;11:15;;;;;;;;;
PACA;Données définitives;01/01/2012;11:30;4849;148;-;0;222;242;0;101;4135
PACA;Données définitives;01/01/2012;11:45;;;;;;;;;
PACA;Données définitives;01/01/2012;12:00;4966;148;-;2;246;235;0;103;4231
PACA;Données définitives;01/01/2012;12:15;;;;;;;;;
PACA;Données définitives;01/01/2012;12:30;5091;148;-;8;243;228;0;100;4363
PACA;Données définitives;01/01/2012;12:45;;;;;;;;;
PACA;Données définitives;01/01/2012;13:00;5064;148;-;10;226;243;0;100;4336
PACA;Données définitives;01/01/2012;13:15;;;;;;;;;
PACA;Données définitives;01/01/2012;13:30;5190;148;-;10;195;244;0;99;4494
PACA;Données définitives;01/01/2012;13:45;;;;;;;;;
PACA;Données définitives;01/01/2012;14:00;5072;147;-;13;175;250;0;96;4392
PACA;Données définitives;01/01/2012;14:15;;;;;;;;;
PACA;Données définitives;01/01/2012;14:30;5096;147;-;14;132;252;0;102;4449
PACA;Données définitives;01/01/2012;14:45;;;;;;;;;
PACA;Données définitives;01/01/2012;15:00;4993;146;-;20;93;252;0;103;4380
PACA;Données définitives;01/01/2012;15:15;;;;;;;;;
PACA;Données définitives;01/01/2012;15:30;4960;148;-;21;47;256;0;104;4384
PACA;Données définitives;01/01/2012;15:45;;;;;;;;;
PACA;Données définitives;01/01/2012;16:00;4900;149;-;24;23;253;0;103;4347
PACA;Données définitives;01/01/2012;16:15;;;;;;;;;
PACA;Données définitives;01/01/2012;16:30;4875;150;-;23;8;273;0;105;4316
PACA;Données définitives;01/01/2012;16:45;;;;;;;;;
PACA;Données définitives;01/01/2012;17:00;4973;147;-;23;0;264;0;103;4436
PACA;Données définitives;01/01/2012;17:15;;;;;;;;;
PACA;Données définitives;01/01/2012;17:30;5167;147;-;26;0;260;0;105;4629
PACA;Données définitives;01/01/2012;17:45;;;;;;;;;
PACA;Données définitives;01/01/2012;18:00;5281;150;-;26;0;267;0;103;4735
PACA;Données définitives;01/01/2012;18:15;;;;;;;;;
PACA;Données définitives;01/01/2012;18:30;5342;146;-;27;0;597;0;101;4471
PACA;Données définitives;01/01/2012;18:45;;;;;;;;;
PACA;Données définitives;01/01/2012;19:00;5509;146;-;27;0;577;0;101;4659
PACA;Données définitives;01/01/2012;19:15;;;;;;;;;
PACA;Données définitives;01/01/2012;19:30;5557;146;-;28;0;604;0;101;4678
PACA;Données définitives;01/01/2012;19:45;;;;;;;;;
PACA;Données définitives;01/01/2012;20:00;5504;144;-;28;0;491;0;102;4739
PACA;Données définitives;01/01/2012;20:15;;;;;;;;;
PACA;Données définitives;01/01/2012;20:30;5451;148;-;28;0;263;0;103;4910
PACA;Données définitives;01/01/2012;20:45;;;;;;;;;
PACA;Données définitives;01/01/2012;21:00;5306;146;-;26;0;239;0;102;4793
PACA;Données définitives;01/01/2012;21:15;;;;;;;;;
PACA;Données définitives;01/01/2012;21:30;5134;146;-;28;0;218;0;103;4640
PACA;Données définitives;01/01/2012;21:45;;;;;;;;;
PACA;Données définitives;01/01/2012;22:00;5044;145;-;27;0;212;0;104;4556
PACA;Données définitives;01/01/2012;22:15;;;;;;;;;
