gen_3_0;gen_3_1;gen_24_12;gen_26_14;gen_26_15;gen_39_17;gen_48_21;gen_48_24;gen_61_33;gen_88_48;gen_99_52;gen_99_54;gen_106_57;gen_111_59
0.425;0.405;0.418;0.486;0.489;0.449;0.364;0.362;0.064;0.515;0.55;0.562;0.666;0.578
0.39;0.367;0.41100000000000003;0.499;0.498;0.435;0.35100000000000003;0.35000000000000003;0.057;0.623;0.64;0.623;0.664;0.555
0.359;0.341;0.422;0.537;0.532;0.434;0.331;0.329;0.053;0.546;0.623;0.603;0.708;0.608
0.379;0.353;0.46;0.5730000000000001;0.5680000000000001;0.449;0.312;0.304;0.052000000000000005;0.601;0.5680000000000001;0.559;0.649;0.597
0.324;0.291;0.495;0.594;0.593;0.45;0.276;0.265;0.051000000000000004;0.624;0.593;0.5730000000000001;0.534;0.485
0.304;0.267;0.504;0.587;0.586;0.432;0.216;0.199;0.046;0.562;0.555;0.558;0.628;0.638
0.327;0.273;0.496;0.5730000000000001;0.5730000000000001;0.40700000000000003;0.15;0.129;0.041;0.509;0.539;0.543;0.609;0.641
0.34900000000000003;0.28800000000000003;0.488;0.5750000000000001;0.5730000000000001;0.381;0.11900000000000001;0.095;0.038;0.449;0.539;0.533;0.623;0.593
0.333;0.277;0.489;0.5700000000000001;0.5690000000000001;0.304;0.084;0.064;0.038;0.456;0.511;0.512;0.606;0.541
0.247;0.2;0.481;0.5670000000000001;0.5670000000000001;0.217;0.04;0.028;0.03;0.451;0.47600000000000003;0.47000000000000003;0.48;0.454
0.247;0.197;0.48;0.594;0.588;0.228;0.025;0.015;0.019;0.509;0.46900000000000003;0.461;0.436;0.436
0.264;0.221;0.47800000000000004;0.595;0.589;0.265;0.016;0.008;0.012;0.5730000000000001;0.53;0.515;0.453;0.457
0.244;0.20500000000000002;0.462;0.597;0.585;0.258;0.009000000000000001;0.003;0.009000000000000001;0.676;0.641;0.638;0.502;0.515
0.192;0.162;0.434;0.587;0.5730000000000001;0.216;0.005;0.001;0.008;0.735;0.6920000000000001;0.6930000000000001;0.5740000000000001;0.614
0.14;0.112;0.41300000000000003;0.589;0.5730000000000001;0.146;0.008;0.005;0.008;0.804;0.744;0.741;0.631;0.654
0.151;0.11900000000000001;0.436;0.609;0.595;0.096;0.019;0.017;0.007;0.87;0.852;0.841;0.734;0.737
0.20500000000000002;0.169;0.496;0.657;0.648;0.056;0.028;0.034;0.008;0.913;0.898;0.887;0.8230000000000001;0.8320000000000001
0.254;0.213;0.51;0.646;0.633;0.043000000000000003;0.041;0.052000000000000005;0.01;0.9490000000000001;0.935;0.925;0.898;0.904
0.307;0.28400000000000003;0.498;0.66;0.645;0.057;0.056;0.065;0.014;0.9460000000000001;0.9470000000000001;0.9460000000000001;0.926;0.9410000000000001
0.342;0.326;0.577;0.68;0.666;0.094;0.069;0.07200000000000001;0.019;0.9;0.91;0.921;0.898;0.9440000000000001
0.334;0.294;0.584;0.6890000000000001;0.677;0.13;0.074;0.07200000000000001;0.019;0.808;0.8190000000000001;0.846;0.793;0.888
0.315;0.274;0.616;0.6920000000000001;0.6970000000000001;0.156;0.07200000000000001;0.065;0.019;0.672;0.713;0.738;0.705;0.804
0.34800000000000003;0.304;0.623;0.745;0.74;0.20800000000000002;0.065;0.056;0.02;0.544;0.603;0.625;0.632;0.7010000000000001
0.393;0.361;0.621;0.744;0.744;0.289;0.064;0.054;0.023;0.436;0.489;0.504;0.545;0.577
0.404;0.37;0.609;0.653;0.663;0.387;0.077;0.065;0.025;0.378;0.427;0.429;0.486;0.468
0.393;0.354;0.56;0.538;0.555;0.47200000000000003;0.10400000000000001;0.09;0.029;0.359;0.384;0.379;0.439;0.392
0.47100000000000003;0.422;0.507;0.504;0.516;0.52;0.153;0.138;0.031;0.37;0.362;0.356;0.382;0.36
0.554;0.487;0.5710000000000001;0.601;0.625;0.554;0.216;0.201;0.032;0.359;0.361;0.362;0.33;0.34
0.5660000000000001;0.526;0.56;0.39;0.395;0.5650000000000001;0.251;0.23700000000000002;0.032;0.303;0.328;0.332;0.323;0.331
0.376;0.376;0.271;0.423;0.40900000000000003;0.548;0.277;0.26;0.035;0.35100000000000003;0.318;0.299;0.321;0.28400000000000003
0.398;0.431;0.331;0.614;0.608;0.493;0.29;0.268;0.04;0.393;0.383;0.356;0.381;0.294
0.547;0.5730000000000001;0.515;0.634;0.642;0.398;0.249;0.228;0.036000000000000004;0.404;0.40800000000000003;0.388;0.404;0.337
0.521;0.524;0.502;0.528;0.529;0.281;0.209;0.191;0.04;0.418;0.41300000000000003;0.394;0.41100000000000003;0.357
0.41100000000000003;0.393;0.422;0.446;0.443;0.215;0.176;0.162;0.042;0.41500000000000004;0.41300000000000003;0.398;0.41500000000000004;0.362
0.393;0.376;0.404;0.462;0.458;0.314;0.145;0.138;0.058;0.492;0.47200000000000003;0.461;0.43;0.404
0.486;0.458;0.457;0.577;0.578;0.532;0.111;0.101;0.055;0.535;0.507;0.501;0.487;0.433
0.55;0.53;0.542;0.653;0.655;0.684;0.10200000000000001;0.08;0.038;0.53;0.532;0.526;0.531;0.492
0.521;0.501;0.558;0.66;0.662;0.6960000000000001;0.163;0.151;0.023;0.46900000000000003;0.491;0.488;0.499;0.47500000000000003
0.47200000000000003;0.464;0.519;0.599;0.606;0.666;0.33;0.352;0.024;0.388;0.41100000000000003;0.40700000000000003;0.443;0.425
0.464;0.458;0.46900000000000003;0.514;0.525;0.6930000000000001;0.468;0.498;0.043000000000000003;0.38;0.404;0.393;0.41500000000000004;0.4
0.508;0.503;0.432;0.462;0.466;0.706;0.586;0.608;0.068;0.395;0.40700000000000003;0.394;0.434;0.406
0.494;0.484;0.336;0.38;0.379;0.721;0.68;0.7010000000000001;0.08700000000000001;0.422;0.397;0.388;0.428;0.4
0.433;0.422;0.27;0.362;0.355;0.71;0.725;0.758;0.105;0.455;0.40800000000000003;0.402;0.445;0.41500000000000004
0.355;0.35100000000000003;0.28;0.381;0.373;0.707;0.741;0.776;0.128;0.47700000000000004;0.425;0.419;0.493;0.448
0.295;0.297;0.264;0.34;0.333;0.6910000000000001;0.748;0.786;0.155;0.442;0.423;0.418;0.544;0.484
0.247;0.256;0.241;0.326;0.316;0.68;0.733;0.773;0.146;0.433;0.419;0.41000000000000003;0.467;0.437
0.211;0.226;0.254;0.333;0.323;0.6910000000000001;0.71;0.75;0.14400000000000002;0.459;0.489;0.489;0.526;0.498
0.20500000000000002;0.231;0.277;0.34800000000000003;0.336;0.7000000000000001;0.6900000000000001;0.729;0.157;0.494;0.518;0.521;0.553;0.512
0.232;0.265;0.323;0.395;0.385;0.733;0.67;0.7030000000000001;0.149;0.5740000000000001;0.5630000000000001;0.546;0.541;0.51
0.27;0.304;0.381;0.47300000000000003;0.464;0.739;0.654;0.682;0.139;0.625;0.606;0.589;0.559;0.544
0.315;0.329;0.438;0.557;0.546;0.752;0.632;0.654;0.12;0.706;0.673;0.664;0.597;0.593
0.35100000000000003;0.335;0.47200000000000003;0.598;0.586;0.771;0.586;0.603;0.10400000000000001;0.835;0.781;0.766;0.664;0.659
0.369;0.352;0.527;0.638;0.628;0.785;0.53;0.544;0.084;0.891;0.855;0.842;0.744;0.74
0.372;0.35100000000000003;0.547;0.66;0.643;0.791;0.458;0.465;0.057;0.932;0.919;0.911;0.872;0.853
0.40700000000000003;0.37;0.5730000000000001;0.724;0.71;0.78;0.397;0.398;0.038;0.963;0.9560000000000001;0.9510000000000001;0.975;0.9550000000000001
0.41100000000000003;0.34700000000000003;0.602;0.779;0.769;0.755;0.341;0.339;0.032;0.977;0.976;0.973;0.986;0.975
0.369;0.30000000000000004;0.679;0.794;0.785;0.7000000000000001;0.247;0.244;0.027;0.979;0.983;0.982;0.987;0.984
0.35100000000000003;0.289;0.705;0.8210000000000001;0.81;0.628;0.128;0.115;0.018000000000000002;0.983;0.984;0.983;0.987;0.986
0.417;0.353;0.76;0.856;0.847;0.602;0.061;0.045;0.009000000000000001;0.986;0.987;0.986;0.986;0.987
0.513;0.448;0.799;0.879;0.872;0.56;0.024;0.013000000000000001;0.005;0.987;0.986;0.987;0.982;0.987
0.553;0.493;0.8250000000000001;0.897;0.89;0.515;0.009000000000000001;0.003;0.006;0.986;0.984;0.986;0.977;0.985
0.55;0.487;0.836;0.907;0.901;0.462;0.016;0.009000000000000001;0.006;0.986;0.984;0.985;0.978;0.984
0.531;0.459;0.844;0.909;0.904;0.41500000000000004;0.032;0.025;0.008;0.986;0.987;0.987;0.987;0.987
0.539;0.454;0.847;0.916;0.91;0.40800000000000003;0.07;0.064;0.01;0.967;0.971;0.974;0.977;0.978
0.5750000000000001;0.502;0.851;0.926;0.92;0.418;0.112;0.109;0.014;0.916;0.9420000000000001;0.9410000000000001;0.9580000000000001;0.9540000000000001
0.588;0.531;0.868;0.935;0.93;0.402;0.146;0.146;0.02;0.856;0.889;0.889;0.918;0.918
0.593;0.538;0.886;0.9470000000000001;0.9440000000000001;0.37;0.164;0.166;0.029;0.783;0.8190000000000001;0.8140000000000001;0.877;0.857
0.625;0.5750000000000001;0.904;0.9510000000000001;0.9520000000000001;0.342;0.17500000000000002;0.177;0.039;0.777;0.791;0.771;0.8250000000000001;0.791
0.682;0.613;0.909;0.935;0.9410000000000001;0.325;0.2;0.20400000000000001;0.046;0.779;0.781;0.757;0.805;0.748
0.736;0.666;0.909;0.906;0.922;0.299;0.232;0.242;0.047;0.812;0.786;0.759;0.8130000000000001;0.754
0.787;0.722;0.918;0.884;0.908;0.269;0.26;0.277;0.046;0.8270000000000001;0.8220000000000001;0.802;0.834;0.779
0.8290000000000001;0.774;0.896;0.778;0.8160000000000001;0.271;0.28600000000000003;0.308;0.048;0.8160000000000001;0.8240000000000001;0.808;0.856;0.799
0.853;0.812;0.745;0.502;0.554;0.298;0.318;0.34500000000000003;0.052000000000000005;0.835;0.849;0.833;0.882;0.8320000000000001
0.835;0.8160000000000001;0.47800000000000004;0.359;0.363;0.319;0.367;0.404;0.06;0.865;0.874;0.859;0.894;0.852
0.731;0.764;0.299;0.373;0.34700000000000003;0.312;0.427;0.47500000000000003;0.074;0.881;0.887;0.873;0.889;0.855
0.584;0.662;0.385;0.494;0.483;0.293;0.468;0.526;0.095;0.881;0.88;0.869;0.866;0.841
0.464;0.47000000000000003;0.482;0.539;0.535;0.28700000000000003;0.498;0.554;0.164;0.86;0.86;0.852;0.844;0.8160000000000001
0.398;0.399;0.47800000000000004;0.531;0.528;0.305;0.526;0.5740000000000001;0.272;0.8320000000000001;0.844;0.834;0.8270000000000001;0.796
0.41500000000000004;0.376;0.458;0.486;0.482;0.427;0.539;0.5670000000000001;0.296;0.796;0.809;0.8;0.791;0.766
0.34600000000000003;0.302;0.34400000000000003;0.331;0.328;0.593;0.5700000000000001;0.584;0.267;0.738;0.758;0.749;0.739;0.714
0.203;0.181;0.20400000000000001;0.227;0.216;0.6980000000000001;0.544;0.5630000000000001;0.23500000000000001;0.612;0.661;0.649;0.667;0.631
